"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","platform_code"
"18230681",,"Avenida Nossa Senhora Da Penha próximo ao 368","Universidade","-22.845505533310256","-43.28245000881531","18230681",,"0",,,
"18261018",,"Rua 1 Avn Cezario De Melo próximo ao 35",,"-22.937095677651634","-43.655300117612455","18261018",,"0",,,
"18245976",,"Rua Do Catete próximo ao 40",,"-22.92252292585341","-43.177208222447746","18245976",,"0",,,
"18261016",,"Rua 1 Avn Cezario De Melo próximo ao 710",,"-22.935923230025224","-43.654924007185656","18261016",,"0",,,
"18230683",,"Estrada Jose Rucas próximo ao 10",,"-22.84804551288437","-43.283779886983666","18230683",,"0",,,
"18245978",,"Rua Pedro Americo próximo ao 166",,"-22.92454090786386","-43.17907782366281","18245978",,"0",,,
"18230695",,"Rua Paranapanema próximo ao 160",,"-22.848395248297923","-43.27357709772762","18230695",,"0",,,
"18245990",,"Rua Das Laranjeiras próximo ao 130",,"-22.932555139667777","-43.18294917492947","18245990",,"0",,,
"18230693",,"Rua Ministro Moreira De Abreu próximo ao 1105",,"-22.848972374131503","-43.27516453304547","18230693",,"0",,,
"18245988",,"Rua Das Laranjeiras próximo ao 48",,"-22.931726835254278","-43.18048538668685","18245988",,"0",,,
"18230691",,"Rua Ministro Moreira De Abreu próximo ao 217",,"-22.84979714868833","-43.276249545875125","18230691",,"0",,,
"18245986",,"Largo Do Machado próximo ao 1","Igreja N.Sra. da Glória","-22.931118104774935","-43.179413076440255","18245986",,"0",,,
"18230689",,"Estrada Jose Rucas próximo ao 1755",,"-22.84961520204673","-43.27793953374243","18230689",,"0",,,
"18245984",,"Rua Bento Lisboa próximo ao 138",,"-22.929071855010875","-43.179399352581726","18245984",,"0",,,
"18230703",,"Rua Paranapanema próximo ao 70",,"-22.855321566715144","-43.26639061551036","18230703",,"0",,,
"18230701",,"Rua Paranapanema próximo ao 632",,"-22.852731235797165","-43.26950305780331","18230701",,"0",,,
"18230699",,"Rua Paranapanema próximo ao 744",,"-22.85066476840963","-43.27108311165055","18230699",,"0",,,
"18230697",,"Rua Paranapanema próximo ao 1106",,"-22.84977456122527","-43.27200817052631","18230697",,"0",,,
"18230710",,"Rua Mossa Senhora Das Gracas próximo ao 1036",,"-22.848095012429898","-43.25431455474814","18230710",,"0",,,
"18246006",,"Rua Delfos próximo ao 16",,"-22.953141913175212","-43.387198928917094","18246006",,"0",,,
"18230708",,"Rua Mossa Senhora Das Gracas próximo ao 716","Escola","-22.850103546621387","-43.25635356016089","18230708",,"0",,,
"18246004",,"Rua Da Ventura próximo ao 398",,"-22.953870630319333","-43.38974918176329","18246004",,"0",,,
"18246002",,"Rua Da Ventura próximo ao 36","CIEP","-22.955074254598085","-43.39068147404341","18246002",,"0",,,
"18246000",,"Rua Da Ventura próximo ao 37",,"-22.956338714021097","-43.39268187434186","18246000",,"0",,,
